Day,Month,Year,date,Subways_Total_Estimated_Ridership,Subways_Percentage_of_Comparable_Pre_Pandemic_Day,Buses_Total_Estimated_Ridership,Buses_Percentage_of_Comparable_Pre_Pandemic_Day,LIRR_Total_Estimated_Ridership,LIRR_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Metro_North_Total_Estimated_Ridership,Metro_North_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Access_A_Ride_Total_Scheduled_Trips,Access_A_Ride_Percentage_of_Comprable_Pre_Pandemic_Day,Bridges_and_Tunnels_Total_Traffic,Bridges_and_Tunnels_Percentage_of_Comparable_Pre_Pandemic_Day
5,5,2022,5/5/2022,3504103,0.595,1424789,0.603,"174,600",0.61,"150,100",0.58,"25,903",0.84,"982,930",0.995
4,5,2022,5/4/2022,3360317,0.573,1431253,0.597,"168,500",0.59,"147,100",0.57,"25,462",0.799,"909,016",0.945
3,5,2022,5/3/2022,3409510,0.586,1479266,0.625,"177,900",0.62,"155,300",0.6,"24,680",0.797,"929,868",0.994
2,5,2022,5/2/2022,2737861,0.485,1168467,0.513,"146,400",0.5,"126,800",0.48,"21,695",0.766,"883,276",0.952
1,5,2022,5/1/2022,1686408,0.724,674569,0.803,"64,600",0.69,"62,500",0.78,"12,976",0.741,"870,826",1.092
30,4,2022,4/30/2022,2110627,0.654,881880,0.635,"82,900",0.73,"82,800",0.86,"14,223",0.808,"938,739",1.004
29,4,2022,4/29/2022,3263295,0.568,1426696,0.639,"164,900",0.55,"136,900",0.51,"23,421",0.816,"994,415",0.984
28,4,2022,4/28/2022,3411573,0.578,1465092,0.624,"167,300",0.58,"146,300",0.56,"24,321",0.82,"968,651",0.986
27,4,2022,4/27/2022,3439081,0.592,1498948,0.638,"172,600",0.6,"153,100",0.59,"25,229",0.819,"934,481",0.981
26,4,2022,4/26/2022,3288631,0.571,1452642,0.635,"172,200",0.6,"153,900",0.59,"23,800",0.804,"897,493",0.966
25,4,2022,4/25/2022,3032820,0.546,1415410,0.63,"159,600",0.55,"139,000",0.52,"22,370",0.821,"883,942",0.976
24,4,2022,4/24/2022,1655863,0.684,648591,0.654,"64,800",0.69,"67,600",0.84,"12,927",0.74,"875,218",1.045
23,4,2022,4/23/2022,2109247,0.645,844146,0.632,"79,400",0.7,"89,800",0.93,"13,459",0.821,"907,580",0.984
22,4,2022,4/22/2022,2991024,0.592,1217380,0.696,"157,900",0.53,"145,600",0.54,"22,298",0.878,"935,779",1.036
21,4,2022,4/21/2022,3039160,0.556,1231047,0.623,"165,800",0.58,"147,500",0.57,"23,239",0.83,"920,202",0.977
20,4,2022,4/20/2022,3104143,0.571,1265823,0.628,"171,700",0.6,"155,700",0.6,"24,212",0.826,"942,383",1.001
19,4,2022,4/19/2022,2967971,0.546,1189960,0.588,"168,400",0.58,"151,500",0.58,"22,359",0.808,"895,086",0.961
18,4,2022,4/18/2022,2681463,0.542,1145261,0.631,"154,300",0.53,"139,200",0.52,"20,245",0.848,"901,207",0.98
17,4,2022,4/17/2022,1514273,0.646,596619,0.6,"71,300",0.76,"71,700",0.89,"14,704",0.759,"845,418",0.961
16,4,2022,4/16/2022,1988439,0.702,830874,0.695,"89,000",0.79,"83,700",0.87,"13,413",0.907,"885,536",1.049
15,4,2022,4/15/2022,2766260,0.582,1137728,0.645,"166,100",0.55,"140,200",0.52,"20,908",0.854,"973,156",1.008
14,4,2022,4/14/2022,3304078,0.56,1438990,0.639,"162,900",0.57,"144,300",0.55,"25,073",0.846,"982,717",0.982
13,4,2022,4/13/2022,3227557,0.54,1495891,0.639,"163,400",0.57,"147,000",0.57,"25,847",0.822,"949,712",0.981
12,4,2022,4/12/2022,3085168,0.52,1496004,0.637,"172,300",0.6,"149,400",0.57,"25,286",0.84,"936,334",0.989
11,4,2022,4/11/2022,3212082,0.578,1433226,0.654,"161,100",0.55,"140,200",0.53,"23,569",0.843,"901,316",0.992
10,4,2022,4/10/2022,1707761,0.69,667662,0.675,"63,200",0.68,"66,100",0.82,"13,935",0.748,"850,153",0.998
9,4,2022,4/9/2022,2190462,0.668,868945,0.62,"81,600",0.72,"86,600",0.9,"13,969",0.792,"897,690",0.947
8,4,2022,4/8/2022,3354096,0.586,1443367,0.646,"160,900",0.54,"140,800",0.52,"24,488",0.842,"998,348",0.997
7,4,2022,4/7/2022,3313712,0.569,1379678,0.589,"161,300",0.56,"140,200",0.54,"24,107",0.768,"901,454",0.927
6,4,2022,4/6/2022,3318116,0.566,1403198,0.598,"163,800",0.57,"142,800",0.55,"25,103",0.785,"890,470",0.937
5,4,2022,4/5/2022,3363543,0.583,1484961,0.642,"170,100",0.59,"150,700",0.58,"24,873",0.822,"904,813",0.99
4,4,2022,4/4/2022,3134343,0.564,1447820,0.633,"159,500",0.55,"135,900",0.51,"23,746",0.838,"899,510",0.988
3,4,2022,4/3/2022,1465351,0.584,607152,0.612,"58,800",0.63,"53,800",0.67,"12,947",0.675,"790,600",0.885
2,4,2022,4/2/2022,2130919,0.645,879513,0.626,"77,200",0.68,"80,500",0.83,"14,382",0.804,"893,814",0.953
1,4,2022,4/1/2022,3243079,0.569,1411421,0.65,"145,300",0.49,"120,600",0.45,"24,017",0.84,"972,802",0.999
31,3,2022,3/31/2022,3330025,0.563,1450363,0.614,"164,100",0.57,"139,600",0.54,"24,308",0.773,"941,530",0.965
30,3,2022,3/30/2022,3342993,0.568,1465351,0.616,"164,900",0.58,"143,200",0.55,"24,620",0.762,"913,063",0.978
29,3,2022,3/29/2022,3298783,0.572,1430099,0.61,"163,200",0.57,"143,900",0.55,"23,981",0.802,"886,086",0.978
28,3,2022,3/28/2022,2995970,0.538,1336330,0.582,"153,200",0.53,"130,900",0.49,"22,114",0.775,"868,259",0.968
27,3,2022,3/27/2022,1535658,0.679,628313,0.635,"65,000",0.69,"58,000",0.72,"11,809",0.678,"830,360",1.017
26,3,2022,3/26/2022,2026750,0.624,783499,0.56,"71,800",0.64,"73,900",0.77,"13,208",0.765,"875,353",0.942
25,3,2022,3/25/2022,3225045,0.576,1397899,0.628,"158,500",0.53,"133,400",0.5,"23,274",0.813,"967,743",0.982
24,3,2022,3/24/2022,3218694,0.555,1373850,0.59,"162,400",0.56,"134,100",0.51,"22,998",0.754,"900,384",0.931
23,3,2022,3/23/2022,3282248,0.574,1438665,0.623,"161,200",0.56,"138,900",0.54,"24,574",0.781,"891,509",0.963
22,3,2022,3/22/2022,3284022,0.577,1471299,0.627,"168,300",0.58,"144,800",0.56,"23,948",0.79,"891,089",0.985
21,3,2022,3/21/2022,3041126,0.561,1418900,0.628,"165,500",0.57,"134,200",0.5,"22,229",0.78,"880,846",0.991
20,3,2022,3/20/2022,1658395,0.686,628693,0.584,"67,600",0.72,"63,800",0.79,"12,736",0.69,"879,711",1.009
19,3,2022,3/19/2022,2003889,0.663,820933,0.618,"74,100",0.66,"74,000",0.77,"12,877",0.781,"872,810",0.986
18,3,2022,3/18/2022,3281721,0.597,1402806,0.655,"163,200",0.54,"137,500",0.51,"24,019",0.854,"978,491",1.015
17,3,2022,3/17/2022,3182552,0.572,1350810,0.618,"166,900",0.58,"135,700",0.52,"22,946",0.785,"888,875",0.967
16,3,2022,3/16/2022,3339344,0.587,1476356,0.63,"168,800",0.59,"145,100",0.56,"25,305",0.793,"914,284",0.99
15,3,2022,3/15/2022,3283193,0.582,1454522,0.625,"171,400",0.59,"146,800",0.56,"24,272",0.793,"906,028",0.998
14,3,2022,3/14/2022,3015216,0.559,1406578,0.624,"160,000",0.55,"134,100",0.5,"22,481",0.803,"879,699",0.986
13,3,2022,3/13/2022,1480930,0.613,590753,0.549,"60,000",0.64,"57,500",0.72,"11,491",0.623,"792,377",0.909
12,3,2022,3/12/2022,1665641,0.523,637601,0.47,"51,700",0.46,"59,900",0.62,"10,655",0.629,"669,502",0.74
11,3,2022,3/11/2022,3202106,0.568,1419371,0.637,"159,000",0.53,"135,400",0.5,"23,736",0.818,"986,555",0.989
10,3,2022,3/10/2022,3346277,0.576,1476288,0.626,"163,900",0.57,"140,100",0.54,"24,515",0.784,"945,191",0.98
9,3,2022,3/9/2022,3119759,0.54,1338822,0.57,"153,400",0.54,"129,100",0.5,"23,477",0.733,"832,720",0.896
8,3,2022,3/8/2022,3251396,0.565,1456451,0.625,"158,700",0.55,"138,800",0.53,"24,076",0.785,"894,132",0.985
7,3,2022,3/7/2022,2987081,0.537,1395540,0.609,"153,900",0.53,"129,800",0.49,"22,465",0.779,"861,409",0.954
6,3,2022,3/6/2022,1446051,0.644,600501,0.613,"53,000",0.57,"52,900",0.66,"12,557",0.749,"787,598",1.079
5,3,2022,3/5/2022,1957651,0.687,812774,0.649,"69,000",0.61,"70,400",0.73,"13,269",0.735,"865,292",1.028
4,3,2022,3/4/2022,3083344,0.559,1363159,0.634,"145,500",0.49,"125,100",0.47,"22,821",0.716,"957,694",0.996
3,3,2022,3/3/2022,3214169,0.565,1434851,0.647,"152,900",0.53,"132,500",0.51,"23,800",0.731,"923,154",0.996
2,3,2022,3/2/2022,3214846,0.572,1463263,0.65,"159,200",0.56,"140,900",0.55,"24,289",0.726,"896,503",1.008
1,3,2022,3/1/2022,3144836,0.564,1435834,0.646,"165,800",0.57,"150,800",0.58,"22,944",0.715,"873,348",0.999
28,2,2022,2/28/2022,2921956,0.54,1362855,0.613,"134,900",0.46,"118,600",0.45,"21,929",0.724,"859,177",0.999
27,2,2022,2/27/2022,1404750,0.617,604646,0.597,"62,900",0.67,"51,600",0.64,"11,337",0.565,"802,377",1.009
26,2,2022,2/26/2022,1826845,0.625,775358,0.615,"71,800",0.64,"61,600",0.64,"12,226",0.696,"847,294",1.019
25,2,2022,2/25/2022,2580174,0.499,1027563,0.546,"114,700",0.38,"91,000",0.34,"18,740",0.628,"794,852",0.855
24,2,2022,2/24/2022,2864025,0.534,1196924,0.602,"132,500",0.46,"110,400",0.42,"21,868",0.693,"911,720",1.005
23,2,2022,2/23/2022,2900361,0.541,1247209,0.613,"140,200",0.49,"119,200",0.46,"23,807",0.724,"892,767",1.012
22,2,2022,2/22/2022,2675275,0.519,1143526,0.589,"135,400",0.47,"112,800",0.43,"19,233",0.619,"846,877",0.988
21,2,2022,2/21/2022,1945048,0.607,873961,0.642,"109,900",0.38,"63,900",0.24,"12,500",0.765,"816,227",1.033
20,2,2022,2/20/2022,1478642,0.649,571789,0.565,"55,000",0.59,"54,900",0.68,"11,017",0.549,"768,971",0.967
19,2,2022,2/19/2022,1794244,0.614,723602,0.574,"64,700",0.57,"66,500",0.69,"12,171",0.693,"813,140",0.978
18,2,2022,2/18/2022,2959462,0.534,1285978,0.61,"129,400",0.43,"112,000",0.42,"21,470",0.695,"947,650",0.969
17,2,2022,2/17/2022,3116483,0.549,1408571,0.638,"141,200",0.49,"115,700",0.44,"23,713",0.72,"911,310",0.995
16,2,2022,2/16/2022,3106976,0.557,1406714,0.62,"140,400",0.49,"115,300",0.45,"23,513",0.687,"875,377",0.995
15,2,2022,2/15/2022,3037189,0.541,1340123,0.6,"146,600",0.51,"119,000",0.46,"21,922",0.667,"873,240",1.014
14,2,2022,2/14/2022,2913628,0.54,1272100,0.593,"142,500",0.49,"113,300",0.43,"20,812",0.692,"862,473",1.02
13,2,2022,2/13/2022,1351186,0.579,510307,0.525,"50,500",0.54,"46,400",0.58,"10,013",0.518,"655,107",0.865
12,2,2022,2/12/2022,2028603,0.729,820629,0.723,"71,700",0.64,"71,800",0.74,"13,376",0.813,"867,255",1.053
11,2,2022,2/11/2022,3021042,0.545,1348189,0.64,"131,000",0.44,"110,700",0.41,"22,608",0.731,"939,270",0.961
10,2,2022,2/10/2022,3118851,0.549,1423775,0.644,"143,100",0.5,"115,700",0.44,"23,341",0.709,"905,812",0.989
9,2,2022,2/9/2022,3095072,0.555,1421706,0.627,"143,700",0.5,"115,300",0.45,"23,863",0.697,"868,057",0.987
8,2,2022,2/8/2022,3022902,0.539,1387432,0.622,"141,700",0.49,"119,200",0.46,"22,667",0.69,"851,665",0.989
7,2,2022,2/7/2022,2789941,0.517,1297024,0.605,"136,500",0.47,"111,300",0.42,"21,120",0.702,"809,094",0.957
6,2,2022,2/6/2022,1325280,0.588,558211,0.562,"51,500",0.55,"48,400",0.6,"10,621",0.541,"744,779",0.973
5,2,2022,2/5/2022,1794615,0.603,726750,0.565,"61,200",0.54,"61,500",0.64,"11,377",0.628,"775,134",0.933
4,2,2022,2/4/2022,2730797,0.494,1176367,0.557,"117,900",0.39,"94,300",0.35,"18,557",0.603,"781,068",0.853
3,2,2022,2/3/2022,2919948,0.516,1304726,0.596,"126,900",0.44,"104,100",0.4,"22,325",0.695,"853,193",0.964
2,2,2022,2/2/2022,2945982,0.519,1314898,0.574,"140,100",0.49,"111,000",0.43,"22,427",0.667,"846,701",0.966
1,2,2022,2/1/2022,2640076,0.472,1127084,0.498,"135,300",0.47,"111,400",0.43,"20,357",0.628,"804,390",0.939
31,1,2022,1/31/2022,2580730,0.479,1139164,0.519,"132,200",0.46,"109,700",0.41,"18,400",0.611,"777,628",0.907
30,1,2022,1/30/2022,1263710,0.565,460299,0.475,"47,900",0.51,"45,000",0.56,"5,974",0.302,"506,466",0.72
29,1,2022,1/29/2022,1000199,0.348,271959,0.217,"8,100",0.07,"22,000",0.23,"5,353",0.317,"174,348",0.221
28,1,2022,1/28/2022,2708397,0.501,1208092,0.569,"120,900",0.4,"96,400",0.36,"20,115",0.645,"866,261",0.929
27,1,2022,1/27/2022,2730250,0.484,1275573,0.581,"119,000",0.41,"95,700",0.37,"20,934",0.663,"869,615",1.008
26,1,2022,1/26/2022,2717000,0.482,1266798,0.568,"118,600",0.41,"96,300",0.37,"21,033",0.645,"833,936",0.955
25,1,2022,1/25/2022,2706871,0.485,1308979,0.586,"124,500",0.43,"98,900",0.38,"21,233",0.673,"817,021",0.956
24,1,2022,1/24/2022,2542015,0.484,1244112,0.594,"127,800",0.44,"100,500",0.38,"19,472",0.658,"791,390",0.938
23,1,2022,1/23/2022,1246961,0.535,529115,0.528,"48,700",0.52,"43,600",0.54,"9,446",0.511,"685,007",0.896
22,1,2022,1/22/2022,1585292,0.609,655490,0.636,"59,400",0.53,"53,700",0.56,"10,455",0.652,"735,629",0.988
21,1,2022,1/21/2022,2570529,0.481,1151816,0.557,"113,500",0.38,"91,100",0.34,"19,079",0.626,"864,079",0.931
20,1,2022,1/20/2022,2550517,0.468,1181953,0.555,"112,600",0.39,"88,200",0.34,"18,616",0.587,"766,608",0.861
19,1,2022,1/19/2022,2647727,0.488,1286788,0.603,"121,200",0.42,"96,300",0.37,"21,111",0.648,"829,778",0.957
18,1,2022,1/18/2022,2546425,0.479,1222195,0.589,"125,600",0.44,"100,400",0.39,"19,389",0.619,"815,605",0.943
17,1,2022,1/17/2022,1602238,0.502,694066,0.532,"98,700",0.34,"44,100",0.17,"8,760",0.56,"649,397",0.815
16,1,2022,1/16/2022,1166766,0.511,456257,0.483,"43,600",0.47,"38,000",0.47,"8,545",0.503,"621,361",0.884
15,1,2022,1/15/2022,1436125,0.554,573037,0.565,"53,400",0.47,"45,300",0.47,"9,510",0.674,"703,293",1.093
14,1,2022,1/14/2022,2527746,0.473,1186647,0.584,"109,200",0.36,"88,600",0.33,"18,878",0.62,"866,901",0.911
13,1,2022,1/13/2022,2529329,0.458,1218552,0.566,"112,500",0.39,"87,700",0.34,"19,918",0.627,"821,641",0.908
12,1,2022,1/12/2022,2464248,0.447,1179931,0.529,"111,000",0.39,"86,000",0.33,"19,679",0.591,"784,901",0.886
11,1,2022,1/11/2022,2271033,0.419,1040581,0.479,"104,400",0.36,"81,400",0.31,"17,388",0.542,"753,381",0.875
10,1,2022,1/10/2022,2352277,0.451,1147341,0.529,"116,500",0.4,"90,200",0.34,"18,268",0.611,"762,712",0.9
9,1,2022,1/9/2022,1103682,0.482,475438,0.478,"43,400",0.46,"35,300",0.44,"7,916",0.409,"567,494",0.75
8,1,2022,1/8/2022,1487737,0.495,631341,0.485,"51,700",0.46,"46,400",0.48,"9,126",0.498,"641,533",0.773
7,1,2022,1/7/2022,2125569,0.39,880997,0.413,"90,200",0.3,"73,100",0.27,"14,203",0.46,"559,774",0.613
6,1,2022,1/6/2022,2396085,0.438,1146904,0.543,"103,600",0.36,"82,600",0.32,"18,672",0.592,"780,026",0.879
5,1,2022,1/5/2022,2272601,0.418,1078511,0.503,"98,300",0.34,"77,600",0.3,"18,861",0.587,"709,060",0.831
4,1,2022,1/4/2022,2294147,0.424,1082360,0.503,"104,200",0.36,"82,000",0.32,"17,909",0.567,"733,369",0.871
3,1,2022,1/3/2022,2172744,0.414,1000002,0.478,"103,000",0.35,"84,000",0.32,"16,437",0.552,"692,740",0.832
2,1,2022,1/2/2022,1221306,0.537,475096,0.504,"49,200",0.53,"42,600",0.53,"8,383",0.45,"624,655",0.888
1,1,2022,1/1/2022,1029180,0.445,350845,0.464,"34,000",0.3,"30,300",0.31,"4,904",0.575,"498,515",0.746
31,12,2021,12/31/2021,1629859,0.522,699749,0.58,"96,700",0.32,"85,200",0.32,"11,498",0.757,"628,305",0.737
30,12,2021,12/30/2021,2202359,0.509,928012,0.604,"110,100",0.38,"90,800",0.35,"16,177",0.657,"804,654",0.985
29,12,2021,12/29/2021,2171073,0.501,921562,0.6,"105,900",0.37,"92,600",0.36,"16,859",0.685,"768,653",0.941
28,12,2021,12/28/2021,2172791,0.502,953933,0.621,"109,900",0.38,"89,700",0.35,"16,736",0.68,"764,364",0.935
27,12,2021,12/27/2021,2011675,0.465,890096,0.58,"108,500",0.37,"89,400",0.34,"14,952",0.608,"744,547",0.911
26,12,2021,12/26/2021,1286484,0.51,518897,0.551,"56,500",0.6,"51,500",0.64,"8,744",0.488,"673,477",0.862
25,12,2021,12/25/2021,811945,0.466,329549,0.493,"39,500",0.35,"31,600",0.33,"9,021",0.61,"582,582",0.761
24,12,2021,12/24/2021,1577738,0.432,746809,0.489,"97,400",0.33,"81,100",0.3,"12,009",0.541,"738,612",0.816
23,12,2021,12/23/2021,2491489,0.525,1166953,0.637,"118,400",0.41,"97,200",0.37,"19,335",0.716,"899,513",0.972
22,12,2021,12/22/2021,2640159,0.556,1252621,0.684,"117,700",0.41,"92,900",0.36,"21,673",0.803,"878,197",0.949
21,12,2021,12/21/2021,2703097,0.57,1299476,0.71,"124,400",0.43,"97,100",0.37,"21,656",0.802,"866,595",0.936
20,12,2021,12/20/2021,2722430,0.574,1277654,0.698,"132,100",0.45,"102,700",0.39,"20,318",0.753,"856,849",0.926
19,12,2021,12/19/2021,1581503,0.593,636393,0.61,"65,700",0.7,"56,300",0.7,"12,238",0.617,"784,051",0.935
18,12,2021,12/18/2021,1882956,0.591,786073,0.621,"74,300",0.66,"66,100",0.69,"12,312",0.706,"832,994",0.918
17,12,2021,12/17/2021,3118492,0.551,1375383,0.662,"146,100",0.49,"121,000",0.45,"22,539",0.723,"968,689",0.976
16,12,2021,12/16/2021,3226842,0.561,1438193,0.703,"152,700",0.53,"126,100",0.48,"23,623",0.741,"948,535",0.974
15,12,2021,12/15/2021,3249076,0.547,1436154,0.65,"153,100",0.53,"129,800",0.5,"23,732",0.707,"921,048",0.976
14,12,2021,12/14/2021,3281294,0.576,1378221,0.674,"154,900",0.54,"131,800",0.51,"23,043",0.73,"894,669",1.033
13,12,2021,12/13/2021,3127619,0.546,1333718,0.612,"153,400",0.53,"129,700",0.49,"21,617",0.716,"874,293",0.964
12,12,2021,12/12/2021,1831705,0.651,627007,0.595,"80,900",0.87,"66,500",0.83,"12,189",0.617,"828,121",0.985
11,12,2021,12/11/2021,2268556,0.657,786137,0.613,"91,900",0.81,"81,100",0.84,"13,396",0.754,"863,814",0.98
10,12,2021,12/10/2021,3423782,0.578,1404176,0.665,"152,500",0.51,"127,700",0.48,"22,237",0.725,"962,125",0.982
9,12,2021,12/9/2021,3440822,0.565,1436883,0.643,"154,400",0.54,"126,200",0.48,"22,743",0.696,"927,903",0.948
8,12,2021,12/8/2021,3385675,0.569,1430106,0.647,"156,200",0.55,"130,200",0.5,"22,691",0.731,"889,409",1.008
7,12,2021,12/7/2021,3375157,0.569,1453136,0.649,"153,700",0.53,"131,000",0.5,"23,262",0.711,"883,027",0.971
6,12,2021,12/6/2021,3142556,0.559,1394230,0.678,"155,000",0.53,"127,300",0.48,"21,761",0.728,"865,595",0.988
5,12,2021,12/5/2021,1737545,0.65,665129,0.643,"72,700",0.78,"60,500",0.75,"12,541",0.639,"818,544",0.991
4,12,2021,12/4/2021,2318203,0.658,864764,0.655,"91,500",0.81,"81,400",0.84,"13,317",0.719,"864,918",0.965
3,12,2021,12/3/2021,3380539,0.567,1419078,0.645,"144,500",0.48,"119,400",0.44,"22,518",0.727,"940,827",0.962
2,12,2021,12/2/2021,3366133,0.555,1449142,0.635,"154,700",0.54,"127,500",0.49,"22,540",0.685,"923,179",0.957
1,12,2021,12/1/2021,3333735,0.557,1463384,0.639,"163,200",0.57,"136,100",0.53,"23,347",0.692,"899,319",0.966
30,11,2021,11/30/2021,3214333,0.551,1432539,0.642,"166,700",0.58,"136,600",0.53,"22,469",0.743,"897,216",1.001
29,11,2021,11/29/2021,3002707,0.57,1381661,0.704,"166,200",0.57,"132,500",0.5,"21,124",0.805,"900,399",1.179
28,11,2021,11/28/2021,1467414,0.722,592081,0.723,"75,200",0.8,"65,100",0.81,"10,481",0.697,"825,585",1.135
27,11,2021,11/27/2021,1882638,0.675,750986,0.613,"83,700",0.74,"76,100",0.79,"10,620",0.744,"850,980",0.943
26,11,2021,11/26/2021,2092977,0.601,843588,0.595,"128,500",0.43,"108,700",0.4,"11,077",0.741,"789,915",0.984
25,11,2021,11/25/2021,1359188,0.64,509782,0.624,"125,400",0.44,"69,900",0.27,"15,459",0.722,"861,084",0.954
24,11,2021,11/24/2021,3091878,0.585,1343391,0.627,"165,300",0.58,"139,400",0.54,"21,002",0.763,"992,568",1.005
23,11,2021,11/23/2021,3293785,0.564,1424890,0.618,"162,200",0.56,"136,600",0.53,"22,574",0.708,"989,345",0.992
22,11,2021,11/22/2021,3137259,0.548,1418226,0.624,"156,900",0.54,"127,800",0.48,"21,441",0.717,"901,942",0.996
21,11,2021,11/21/2021,1676033,0.743,674551,0.724,"80,500",0.86,"66,900",0.83,,,"841,901",1.115
20,11,2021,11/20/2021,2138098,0.67,861772,0.635,"94,400",0.84,"82,900",0.86,,,"915,131",1.02
19,11,2021,11/19/2021,3323841,0.572,1429787,0.653,"151,800",0.51,"127,100",0.47,"22,662",0.745,"987,149",1.009
18,11,2021,11/18/2021,3419760,0.57,1505488,0.645,"157,400",0.55,"132,600",0.51,"24,071",0.742,"959,226",0.999
17,11,2021,11/17/2021,3376522,0.569,1501740,0.645,"158,400",0.55,"131,100",0.51,"24,396",0.728,"915,266",0.986
16,11,2021,11/16/2021,3348316,0.568,1492110,0.643,"161,400",0.56,"137,200",0.53,"23,694",0.725,"902,386",0.992
15,11,2021,11/15/2021,3117761,0.555,1437414,0.661,"161,000",0.55,"132,200",0.5,"22,208",0.747,"890,524",1.009
14,11,2021,11/14/2021,1704908,0.7,657129,0.65,"72,500",0.78,"62,900",0.78,"12,460",0.657,"858,311",1.046
13,11,2021,11/13/2021,2172149,0.671,815114,0.619,"80,800",0.72,"74,300",0.77,"13,124",0.751,"869,112",0.962
12,11,2021,11/12/2021,3164764,0.538,1350608,0.606,"141,700",0.47,"117,700",0.44,"21,598",0.69,"919,941",0.929
11,11,2021,11/11/2021,2927728,0.61,1198235,0.661,"143,400",0.5,"122,900",0.47,"19,846",0.898,"895,643",1.054
10,11,2021,11/10/2021,3359437,0.576,1514453,0.69,"159,300",0.56,"134,400",0.52,"24,608",0.763,"926,005",1.009
9,11,2021,11/9/2021,3287134,0.566,1518264,0.692,"157,200",0.54,"134,100",0.52,"24,504",0.776,"898,518",1.012
8,11,2021,11/8/2021,3072454,0.528,1461178,0.632,"159,700",0.55,"131,100",0.49,"22,136",0.735,"889,544",0.968
7,11,2021,11/7/2021,1891963,0.657,614513,0.62,"81,200",0.87,"72,200",0.9,"10,647",0.63,"780,686",1.005
6,11,2021,11/6/2021,2198274,0.679,864499,0.661,"84,900",0.75,"80,800",0.84,"13,672",0.771,"910,587",0.996
5,11,2021,11/5/2021,3300207,0.563,1457014,0.667,"150,200",0.5,"121,800",0.45,"23,009",0.777,"966,007",0.985
4,11,2021,11/4/2021,3291525,0.546,1486942,0.636,"151,400",0.53,"126,500",0.49,"24,009",0.745,"931,012",0.975
3,11,2021,11/3/2021,3301103,0.548,1507287,0.634,"154,200",0.54,"131,000",0.51,"23,349",0.701,"901,230",0.963
2,11,2021,11/2/2021,2853901,0.515,1258180,0.598,"147,800",0.51,"129,300",0.5,"22,016",0.722,"853,432",0.957
1,11,2021,11/1/2021,3041089,0.522,1448304,0.626,"158,400",0.54,"131,300",0.49,"21,387",0.71,"898,451",0.978
31,10,2021,10/31/2021,1748679,0.695,656203,0.624,"68,700",0.73,"66,300",0.82,"12,233",0.63,"824,978",0.961
30,10,2021,10/30/2021,2046487,0.611,819620,0.591,"76,500",0.68,"69,300",0.72,"12,642",0.694,"854,656",0.923
29,10,2021,10/29/2021,3258376,0.547,1426938,0.63,"153,300",0.51,"122,600",0.46,"22,477",0.743,"963,442",0.972
28,10,2021,10/28/2021,3373576,0.584,1515489,0.698,"159,600",0.55,"132,200",0.51,"24,814",0.855,"959,835",1.083
27,10,2021,10/27/2021,3307634,0.549,1503535,0.637,"155,900",0.54,"129,900",0.5,"24,144",0.752,"914,494",0.988
26,10,2021,10/26/2021,2707913,0.453,1233660,0.531,"130,100",0.45,"104,500",0.4,"21,220",0.682,"738,636",0.809
25,10,2021,10/25/2021,3001962,0.521,1461023,0.63,"158,300",0.54,"125,800",0.47,"21,724",0.752,"883,887",0.967
24,10,2021,10/24/2021,1601835,0.727,659283,0.756,"69,600",0.74,"68,200",0.85,"12,314",0.719,"883,371",1.137
23,10,2021,10/23/2021,2079731,0.623,847596,0.606,"74,700",0.66,"82,900",0.86,"13,556",0.76,"914,737",0.961
22,10,2021,10/22/2021,3232113,0.547,1471199,0.641,"145,800",0.49,"126,600",0.47,"22,843",0.757,"986,548",0.98
21,10,2021,10/21/2021,3275195,0.535,1476434,0.62,"149,900",0.52,"127,300",0.49,"24,007",0.748,"948,652",0.963
20,10,2021,10/20/2021,3241475,0.535,1525608,0.636,"155,200",0.54,"131,100",0.51,"24,474",0.747,"916,246",0.969
19,10,2021,10/19/2021,3185458,0.549,1510722,0.667,"153,400",0.53,"130,000",0.5,"23,403",0.78,"899,389",1.028
18,10,2021,10/18/2021,2989693,0.527,1461843,0.638,"153,700",0.53,"127,400",0.48,"21,454",0.781,"889,996",1.018
17,10,2021,10/17/2021,1631844,0.67,663944,0.678,"74,800",0.8,"69,700",0.87,"12,564",0.674,"891,527",1.069
16,10,2021,10/16/2021,2044396,0.608,856990,0.62,"83,400",0.74,"74,900",0.78,"13,307",0.753,"896,392",0.939
15,10,2021,10/15/2021,3233854,0.539,1491099,0.653,"150,900",0.5,"124,700",0.46,"23,251",0.772,"990,940",0.963
14,10,2021,10/14/2021,3248072,0.534,1527543,0.66,"154,600",0.54,"126,800",0.49,"24,144",0.77,"952,876",0.983
13,10,2021,10/13/2021,3164655,0.541,1511356,0.689,"151,300",0.53,"124,800",0.48,"24,396",0.784,"907,632",0.998
12,10,2021,10/12/2021,3110171,0.529,1514608,0.644,"154,600",0.54,"128,200",0.49,"23,848",0.787,"910,639",0.996
11,10,2021,10/11/2021,2267498,0.532,1045865,0.64,"131,700",0.45,"114,500",0.43,"16,917",0.889,"878,443",1.029
10,10,2021,10/10/2021,1499551,0.564,601821,0.558,"65,600",0.7,"59,000",0.73,"11,794",0.638,"806,025",0.9
