Test_Date,County_Code,Positive_Cases,Total_Tests
2020-06-17,36005,53,5557
2020-06-17,36047,115,10050
2020-06-17,36061,52,6700
2020-06-17,36081,92,8702
2020-06-17,36085,7,1579
2020-06-18,36005,85,6278
2020-06-18,36047,132,10957
2020-06-18,36061,64,7876
2020-06-18,36081,112,9088
2020-06-18,36085,17,2306
2020-06-19,36005,64,5008
2020-06-19,36047,127,10521
2020-06-19,36061,67,7969
2020-06-19,36081,106,9759
2020-06-19,36085,27,1882
2020-06-20,36005,48,4699
2020-06-20,36047,113,9855
2020-06-20,36061,75,7601
2020-06-20,36081,135,9123
2020-06-20,36085,14,1750
2020-06-21,36005,65,4911
2020-06-21,36047,75,7192
2020-06-21,36061,51,4873
2020-06-21,36081,91,8241
2020-06-21,36085,13,1507
2020-06-22,36005,62,3723
2020-06-22,36047,98,5818
2020-06-22,36061,58,4886
2020-06-22,36081,85,6543
2020-06-22,36085,12,1121
2020-06-23,36005,76,3566
2020-06-23,36047,64,6707
2020-06-23,36061,57,4933
2020-06-23,36081,84,6687
2020-06-23,36085,11,1900
2020-06-24,36005,64,4936
2020-06-24,36047,95,7584
2020-06-24,36061,60,6490
2020-06-24,36081,106,7732
2020-06-24,36085,26,2036
2020-06-25,36005,89,4382
2020-06-25,36047,105,7415
2020-06-25,36061,58,6506
2020-06-25,36081,102,6965
2020-06-25,36085,17,1709
2020-06-26,36005,73,5803
2020-06-26,36047,109,10223
2020-06-26,36061,81,8758
2020-06-26,36081,86,9721
2020-06-26,36085,15,1697
2020-06-27,36005,60,5212
2020-06-27,36047,87,8504
2020-06-27,36061,49,5887
2020-06-27,36081,101,7679
2020-06-27,36085,21,1581
2020-06-28,36005,41,3588
2020-06-28,36047,69,5376
2020-06-28,36061,21,4008
2020-06-28,36081,49,4738
2020-06-28,36085,9,979
2020-06-29,36005,43,4058
2020-06-29,36047,74,6649
2020-06-29,36061,46,5282
2020-06-29,36081,66,5591
2020-06-29,36085,11,1749
2020-06-30,36005,53,4727
2020-06-30,36047,92,7720
2020-06-30,36061,71,6206
2020-06-30,36081,64,6094
2020-06-30,36085,16,1305
2020-07-01,36005,107,5278
2020-07-01,36047,113,9246
2020-07-01,36061,78,7181
2020-07-01,36081,113,8290
2020-07-01,36085,16,1787
2020-07-02,36005,80,5523
2020-07-02,36047,102,8649
2020-07-02,36061,102,7061
2020-07-02,36081,137,8119
2020-07-02,36085,39,1955
2020-07-03,36005,64,4449
2020-07-03,36047,121,7504
2020-07-03,36061,62,6197
2020-07-03,36081,95,7215
2020-07-03,36085,26,1613
2020-07-04,36005,36,4274
2020-07-04,36047,71,7532
2020-07-04,36061,44,5730
2020-07-04,36081,76,7214
2020-07-04,36085,12,1578
2020-07-05,36005,56,4112
2020-07-05,36047,61,7272
2020-07-05,36061,66,7732
2020-07-05,36081,52,5746
2020-07-05,36085,11,1363
2020-07-06,36005,44,3695
2020-07-06,36047,70,7673
2020-07-06,36061,50,6250
2020-07-06,36081,96,6329
2020-07-06,36085,12,1707
2020-07-07,36005,39,3459
2020-07-07,36047,105,6909
2020-07-07,36061,52,6975
2020-07-07,36081,75,6300
2020-07-07,36085,18,1406
2020-07-08,36005,51,3994
2020-07-08,36047,74,7227
2020-07-08,36061,56,6502
2020-07-08,36081,76,7106
2020-07-08,36085,19,1592
2020-07-09,36005,82,5703
2020-07-09,36047,99,8796
2020-07-09,36061,80,8368
2020-07-09,36081,67,7808
2020-07-09,36085,23,1876
2020-07-10,36005,59,4931
2020-07-10,36047,87,7546
2020-07-10,36061,56,8214
2020-07-10,36081,82,7980
2020-07-10,36085,23,1837
2020-07-11,36005,60,4403
2020-07-11,36047,101,7261
2020-07-11,36061,72,6860
2020-07-11,36081,87,6788
2020-07-11,36085,21,1681
2020-07-12,36005,50,3981
2020-07-12,36047,67,5923
2020-07-12,36061,65,5415
2020-07-12,36081,56,5887
2020-07-12,36085,12,1495
2020-07-13,36005,56,4169
2020-07-13,36047,89,5637
2020-07-13,36061,61,5422
2020-07-13,36081,78,5536
2020-07-13,36085,31,1891
2020-07-14,36005,63,4435
2020-07-14,36047,108,7601
2020-07-14,36061,79,6907
2020-07-14,36081,98,7211
2020-07-14,36085,17,1604
2020-07-15,36005,79,5635
2020-07-15,36047,112,8188
2020-07-15,36061,74,7545
2020-07-15,36081,92,8384
2020-07-15,36085,28,1878
2020-07-16,36005,68,5249
2020-07-16,36047,109,10677
2020-07-16,36061,74,8267
2020-07-16,36081,94,8941
2020-07-16,36085,22,2004
2020-07-17,36005,72,5748
2020-07-17,36047,117,9341
2020-07-17,36061,86,7329
2020-07-17,36081,92,6874
2020-07-17,36085,20,1566
2020-07-18,36005,54,4297
2020-07-18,36047,80,6258
2020-07-18,36061,56,5435
2020-07-18,36081,86,5406
2020-07-18,36085,21,1301
2020-07-19,36005,68,3542
2020-07-19,36047,56,5903
2020-07-19,36061,65,5932
2020-07-19,36081,72,5737
2020-07-19,36085,23,1213
2020-07-20,36005,90,4507
2020-07-20,36047,80,8084
2020-07-20,36061,71,6704
2020-07-20,36081,115,7289
2020-07-20,36085,36,2050
2020-07-21,36005,91,5493
2020-07-21,36047,94,8182
2020-07-21,36061,76,7537
2020-07-21,36081,71,7513
