Year,Month,License Class,Trips Per Day,Trips Per Month
2016,November,FHV - Livery,"80,717",2421510
2016,November,FHV - Lux Limo,"2,514",75420
2016,November,Green,"38,272",1148160
2016,November,Yellow,"336,737",10102110
2016,October,FHV - Black Car,"12,933",387990
2016,October,FHV - High Volume,"310,749",9322470
2016,October,FHV - Livery,"81,340",2440200
2016,October,FHV - Lux Limo,"3,297",98910
2016,October,Green,"40,405",1212150
2016,October,Yellow,"350,380",10511400
2016,September,FHV - Black Car,"14,150",424500
2016,September,FHV - High Volume,"292,548",8776440
2016,September,FHV - Livery,"82,088",2462640
2016,September,FHV - Lux Limo,"3,200",96000
2016,September,Green,"38,741",1162230
2016,September,Yellow,"337,321",10119630
2016,August,FHV - Black Car,"12,344",370320
2016,August,FHV - High Volume,"263,457",7903710
2016,August,FHV - Livery,"83,283",2498490
2016,August,FHV - Lux Limo,"3,008",90240
2016,August,Green,"40,241",1207230
2016,August,Yellow,"320,718",9621540
2016,July,FHV - Black Car,"12,589",377670
2016,July,FHV - High Volume,"252,701",7581030
2016,July,FHV - Livery,"85,737",2572110
2016,July,FHV - Lux Limo,"3,080",92400
2016,July,Green,"42,979",1289370
2016,July,Yellow,"332,231",9966930
2016,June,FHV - Black Car,"15,375",461250
2016,June,FHV - High Volume,"242,233",7266990
2016,June,FHV - Livery,"96,337",2890110
2016,June,FHV - Lux Limo,"5,007",150210
2016,June,Green,"46,817",1404510
2016,June,Yellow,"371,257",11137710
2016,May,FHV - Black Car,"14,705",441150
2016,May,FHV - High Volume,"226,667",6800010
2016,May,FHV - Livery,"100,070",3002100
2016,May,FHV - Lux Limo,"4,992",149760
2016,May,Green,"49,573",1487190
2016,May,Yellow,"381,878",11456340
2016,April,FHV - Black Car,"14,535",436050
2016,April,FHV - High Volume,"217,147",6514410
2016,April,FHV - Livery,"101,203",3036090
2016,April,FHV - Lux Limo,"5,053",151590
2016,April,Green,"51,458",1543740
2016,April,Yellow,"397,780",11933400
2016,March,FHV - Black Car,"14,138",424140
2016,March,FHV - High Volume,"195,837",5875110
2016,March,FHV - Livery,"95,707",2871210
2016,March,FHV - Lux Limo,"4,425",132750
2016,March,Green,"50,850",1525500
2016,March,Yellow,"393,886",11816580
2016,February,FHV - Black Car,"19,854",595620
2016,February,FHV - High Volume,"201,940",6058200
2016,February,FHV - Livery,"98,897",2966910
2016,February,FHV - Lux Limo,"4,405",132150
2016,February,Green,"52,093",1562790
2016,February,Yellow,"392,470",11774100
2016,January,FHV - Black Car,"14,352",430560
2016,January,FHV - High Volume,"166,805",5004150
2016,January,FHV - Livery,"89,661",2689830
2016,January,FHV - Lux Limo,"3,721",111630
2016,January,Green,"46,621",1398630
2016,January,Yellow,"351,816",10554480
2015,December,FHV - Black Car,"15,377",461310
2015,December,FHV - High Volume,"168,786",5063580
2015,December,FHV - Livery,"97,134",2914020
2015,December,FHV - Lux Limo,"5,437",163110
2015,December,Green,"51,880",1556400
2015,December,Yellow,"369,686",11090580
2015,November,FHV - Black Car,"15,069",452070
2015,November,FHV - High Volume,"163,178",4895340
2015,November,FHV - Livery,"93,451",2803530
2015,November,FHV - Lux Limo,"5,583",167490
2015,November,Green,"50,999",1529970
2015,November,Yellow,"377,076",11312280
2015,October,FHV - Black Car,"16,756",502680
2015,October,FHV - High Volume,"163,168",4895040
2015,October,FHV - Livery,"91,468",2744040
2015,October,FHV - Lux Limo,"5,554",166620
2015,October,Green,"52,598",1577940
2015,October,Yellow,"397,244",11917320
2015,September,FHV - Black Car,"10,293",308790
2015,September,FHV - High Volume,"144,300",4329000
2015,September,FHV - Livery,"60,764",1822920
2015,September,FHV - Lux Limo,"4,069",122070
2015,September,Green,"49,830",1494900
2015,September,Yellow,"374,156",11224680
2015,August,FHV - Black Car,"7,988",239640
2015,August,FHV - High Volume,"123,807",3714210
2015,August,FHV - Livery,"34,450",1033500
2015,August,FHV - Lux Limo,"3,476",104280
2015,August,Green,"49,429",1482870
2015,August,Yellow,"359,029",10770870
2015,July,FHV - Black Car,"7,574",227220
2015,July,FHV - High Volume,"112,207",3366210
2015,July,FHV - Livery,"18,526",555780
2015,July,FHV - Lux Limo,"3,136",94080
2015,July,Green,"49,730",1491900
2015,July,Yellow,"372,979",11189370
2015,June,FHV - Black Car,"9,276",278280
2015,June,FHV - High Volume,"102,793",3083790
2015,June,FHV - Livery,"25,626",768780
2015,June,FHV - Lux Limo,"3,655",109650
2015,June,Green,"54,628",1638840
2015,June,Yellow,"410,831",12324930
2015,May,FHV - Black Car,"7,681",230430
2015,May,FHV - High Volume,"94,103",2823090
2015,May,FHV - Livery,"31,153",934590
2015,May,FHV - Lux Limo,"3,580",107400
2015,May,Green,"57,637",1729110
2015,May,Yellow,"424,459",12733770
2015,April,FHV - Black Car,"10,060",301800
2015,April,FHV - High Volume,"82,498",2474940
2015,April,FHV - Livery,"33,619",1008570
2015,April,FHV - Lux Limo,"2,973",89190
2015,April,Green,"55,473",1664190
2015,April,Yellow,"435,701",13071030
2015,March,FHV - Black Car,"5,338",160140
2015,March,FHV - High Volume,"72,889",2186670
2015,March,FHV - Livery,"25,025",750750
2015,March,FHV - Lux Limo,"1,439",43170
2015,March,Green,"55,567",1667010
2015,March,Yellow,"430,669",12920070
2015,February,FHV - Black Car,"6,213",186390
2015,February,FHV - High Volume,"77,796",2333880
2015,February,FHV - Livery,"23,250",697500
2015,February,FHV - Lux Limo,"1,782",53460
2015,February,Green,"56,242",1687260
2015,February,Yellow,"444,633",13338990
2015,January,FHV - Black Car,"5,359",160770
2015,January,FHV - High Volume,"60,357",1810710
2015,January,FHV - Livery,"20,740",622200
2015,January,FHV - Lux Limo,"1,310",39300
2015,January,Green,"48,659",1459770
2015,January,Yellow,"411,238",12337140
2014,December,Green,"53,078",1592340
2014,December,Yellow,"419,776",12593280
2014,November,Green,"51,600",1548000
2014,November,Yellow,"440,576",13217280
2014,October,Green,"48,100",1443000
2014,October,Yellow,"459,087",13772610
2014,September,Green,"45,394",1361820
2014,September,Yellow,"445,782",13373460
2014,August,Green,"43,381",1301430
2014,August,Yellow,"409,305",12279150
2014,July,Green,"41,094",1232820
2014,July,Yellow,"422,771",12683130
2014,June,Green,"44,590",1337700
2014,June,Yellow,"460,393",13811790
2014,May,Green,"45,853",1375590
2014,May,Yellow,"476,569",14297070
2014,April,Green,"43,625",1308750
2014,April,Yellow,"487,275",14618250
2014,March,Green,"41,718",1251540
2014,March,Yellow,"497,661",14929830
2014,February,Green,"35,895",1076850
2014,February,Yellow,"466,522",13995660
2014,January,Green,"25,923",777690
2014,January,Yellow,"444,537",13336110
2013,December,Green,"19,435",583050
2013,December,Yellow,"450,634",13519020
2013,November,Green,"12,692",380760
2013,November,Yellow,"479,527",14385810
2013,October,Green,"5,477",164310
2013,October,Yellow,"483,921",14517630
2013,September,Green,"1,632",48960
2013,September,Yellow,"470,147",14104410
2013,August,Green,283,8490
2013,August,Yellow,"406,246",12187380
2013,July,Yellow,"445,861",13375830
2013,June,Yellow,"479,148",14374440
2013,May,Yellow,"492,962",14788860
2013,April,Yellow,"503,249",15097470
2013,March,Yellow,"507,914",15237420
2013,February,Yellow,"499,556",14986680
2013,January,Yellow,"476,544",14296320
2012,December,Yellow,"474,005",14220150
2012,November,Yellow,"459,114",13773420
2012,October,Yellow,"468,377",14051310
2012,September,Yellow,"484,783",14543490
2012,August,Yellow,"463,841",13915230
2012,July,Yellow,"463,784",13913520
2012,June,Yellow,"503,139",15094170
2012,May,Yellow,"502,097",15062910
2012,April,Yellow,"515,848",15475440
2012,March,Yellow,"520,764",15622920
2012,February,Yellow,"516,585",15497550
2012,January,Yellow,"482,811",14484330
2011,December,Yellow,"481,410",14442300
2011,November,Yellow,"484,122",14523660
2011,October,Yellow,"506,532",15195960
2011,September,Yellow,"487,470",14624100
2011,August,Yellow,"427,740",12832200
2011,July,Yellow,"475,475",14264250
2011,June,Yellow,"503,152",15094560
2011,May,Yellow,"501,708",15051240
2011,April,Yellow,"490,577",14717310
2011,March,Yellow,"518,212",15546360
2011,February,Yellow,"507,167",15215010
2011,January,Yellow,"434,297",13028910
2010,December,Yellow,"445,727",13371810
2010,November,Yellow,"463,701",13911030
2010,October,Yellow,"457,996",13739880
2010,September,Yellow,"517,972",15539160
2010,August,Yellow,"404,115",12123450
2010,July,Yellow,"472,752",14182560
2010,June,Yellow,"494,137",14824110
2010,May,Yellow,"499,374",14981220
2010,April,Yellow,"504,798",15143940
2010,March,Yellow,"415,567",12467010
2010,February,Yellow,"397,969",11939070
2010,January,Yellow,"479,376",14381280
