date,Subways_Total_Estimated_Ridership,Subways_Percentage_of_Comparable_Pre_Pandemic_Day,Buses_Total_Estimated_Ridership,Buses_Percentage_of_Comparable_Pre_Pandemic_Day,LIRR_Total_Estimated_Ridership,LIRR_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Metro_North_Total_Estimated_Ridership,Metro_North_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Access_A_Ride_Total_Scheduled_Trips,Access_A_Ride_Percentage_of_Comprable_Pre_Pandemic_Day,Bridges_and_Tunnels_Total_Traffic,Bridges_and_Tunnels_Percentage_of_Comparable_Pre_Pandemic_Day
10/05/2021,"3,098,187",0.541,"1,499,767",0.65,"150,200",0.52,"124,700",0.48,"23,644",0.778,"887,129",1.01
10/04/2021,"2,870,940",0.502,"1,419,155",0.604,"152,600",0.53,"121,300",0.46,"21,794",0.748,"871,945",0.964
10/03/2021,"1,577,642",0.626,"673,253",0.626,"74,900",0.8,"66,800",0.83,"12,936",0.672,"887,540",1.02
10/02/2021,"2,066,222",0.619,"883,902",0.628,"86,600",0.77,"80,900",0.84,"14,145",0.798,"923,455",0.987
10/01/2021,"3,169,206",0.528,"1,492,942",0.64,"140,000",0.47,"116,200",0.43,"23,098",0.773,"985,786",0.981
09/30/2021,"3,153,965",0.524,"1,516,081",0.657,"144,800",0.5,"121,800",0.47,"23,555",0.746,"953,501",1.018
09/29/2021,"3,070,509",0.516,"1,513,184",0.626,"137,500",0.48,"120,000",0.46,"23,323",0.751,"886,785",0.958
09/28/2021,"2,934,542",0.488,"1,457,421",0.611,"141,200",0.49,"118,300",0.45,"21,727",0.722,"831,192",0.901
09/27/2021,"2,880,083",0.5,"1,489,441",0.636,"146,200",0.5,"121,500",0.46,"21,209",0.757,"881,116",0.954
09/26/2021,"1,616,915",0.637,"657,257",0.601,"80,100",0.86,"64,900",0.81,"12,034",0.643,"895,286",0.975
09/25/2021,"2,132,211",0.664,"872,490",0.626,"88,500",0.78,"81,300",0.84,"13,909",0.817,"953,628",0.982
09/24/2021,"3,128,041",0.531,"1,469,705",0.637,"142,800",0.48,"116,700",0.43,"21,941",0.765,"986,694",0.966
09/23/2021,"3,022,830",0.498,"1,483,075",0.626,"140,100",0.49,"115,500",0.44,"23,031",0.753,"915,198",0.94
09/22/2021,"3,027,925",0.499,"1,506,211",0.627,"139,900",0.49,"120,100",0.46,"23,157",0.728,"872,883",0.921
09/21/2021,"3,025,310",0.503,"1,505,803",0.632,"142,700",0.49,"123,900",0.48,"22,399",0.745,"860,050",0.932
09/20/2021,"2,889,759",0.502,"1,481,676",0.632,"148,100",0.51,"122,100",0.46,"21,889",0.781,"895,109",0.97
09/19/2021,"1,598,720",0.611,"674,024",0.602,"69,400",0.74,"64,100",0.8,"12,612",0.674,"914,623",0.979
09/18/2021,"2,017,430",0.607,"871,175",0.611,"77,300",0.69,"76,300",0.79,"14,054",0.795,"949,178",0.975
09/17/2021,"3,034,676",0.507,"1,456,201",0.626,"142,100",0.47,"119,300",0.44,"23,282",0.807,"982,085",0.968
09/16/2021,"2,539,853",0.421,"1,210,069",0.5,"128,000",0.44,"107,700",0.41,"20,826",0.672,"864,413",0.882
09/15/2021,"2,993,744",0.499,"1,503,627",0.618,"139,900",0.49,"116,400",0.45,"23,966",0.746,"904,733",0.958
09/14/2021,"3,017,947",0.506,"1,511,145",0.624,"144,900",0.5,"120,500",0.46,"23,132",0.753,"908,024",0.975
09/13/2021,"2,858,929",0.503,"1,441,516",0.609,"147,800",0.51,"122,500",0.46,"21,898",0.775,"914,827",0.985
09/12/2021,"1,591,655",0.621,"694,561",0.626,"77,000",0.82,"59,000",0.73,"12,239",0.662,"899,864",0.979
09/11/2021,"1,985,273",0.633,"870,791",0.629,"82,200",0.73,"65,300",0.68,"13,070",0.774,"917,704",0.977
09/10/2021,"2,845,820",0.484,"1,322,430",0.564,"150,900",0.5,"113,500",0.42,"23,037",0.781,"995,486",0.98
09/09/2021,"2,708,091",0.455,"1,249,341",0.52,"139,500",0.48,"111,700",0.43,"23,653",0.761,"911,040",0.938
09/08/2021,"2,534,847",0.46,"1,192,895",0.547,"135,700",0.47,"110,900",0.43,"22,354",0.734,"896,020",0.956
09/07/2021,"2,238,469",0.421,"1,102,372",0.519,"137,600",0.48,"113,700",0.44,"21,143",0.738,"902,400",0.948
09/06/2021,"1,523,354",0.683,"733,947",0.774,"77,900",0.83,"51,300",0.19,"10,077",1.055,"812,884",1.096
09/05/2021,"1,416,893",0.568,"618,622",0.571,"71,000",0.76,"45,200",0.56,"11,931",0.637,"832,200",0.928
09/04/2021,"1,779,743",0.61,"834,456",0.623,"84,800",0.75,"57,100",0.59,"13,382",0.818,"927,358",0.985
09/03/2021,"2,394,842",0.488,"1,221,668",0.61,"139,800",0.47,"97,900",0.36,"22,585",0.845,"1,014,806",0.981
09/02/2021,"1,664,178",0.315,"1,188,941",0.57,"105,600",0.37,,,"21,179",0.758,"851,145",0.833
09/01/2021,"2,298,999",0.442,"1,086,148",0.537,"118,400",0.41,"90,600",0.35,"20,878",0.719,"811,053",0.858
08/31/2021,"2,537,974",0.487,"1,246,463",0.606,"133,600",0.46,"99,900",0.38,"22,724",0.806,"936,181",0.995
08/30/2021,"2,325,695",0.477,"1,182,908",0.61,"131,600",0.45,"97,100",0.37,"19,224",0.757,"911,105",0.984
08/29/2021,"1,400,642",0.561,"630,281",0.582,"68,800",0.74,"54,100",0.67,"11,558",0.617,"890,505",0.993
08/28/2021,"1,661,095",0.57,"776,489",0.58,"69,000",0.61,"56,200",0.58,"12,760",0.78,"890,293",0.946
08/27/2021,"2,392,602",0.487,"1,147,249",0.573,"119,700",0.4,"90,500",0.34,"21,211",0.794,"973,335",0.941
08/26/2021,"2,485,132",0.471,"1,222,996",0.587,"122,100",0.42,"91,000",0.35,"22,068",0.789,"950,534",0.931
08/25/2021,"2,503,420",0.482,"1,236,342",0.611,"127,400",0.44,"93,300",0.36,"23,351",0.804,"957,036",1.013
08/24/2021,"2,467,406",0.473,"1,234,884",0.6,"130,600",0.45,"98,300",0.38,"22,679",0.804,"942,935",1.002
08/23/2021,"2,056,731",0.422,"1,032,792",0.533,"110,000",0.38,"84,200",0.32,"18,809",0.741,"821,654",0.888
08/22/2021,"745,800",0.32,"369,246",0.335,"27,500",0.29,"16,100",0.2,"7,979",0.45,"489,334",0.527
08/21/2021,"1,716,439",0.592,"822,340",0.597,"72,800",0.65,"62,000",0.64,"13,046",0.79,"941,331",0.956
08/20/2021,"2,460,924",0.504,"1,183,308",0.623,"124,600",0.42,"99,500",0.37,"21,451",0.793,"969,814",0.958
08/19/2021,"2,444,495",0.479,"1,194,375",0.601,"117,400",0.41,"93,000",0.36,"21,838",0.772,"939,085",0.942
08/18/2021,"2,450,516",0.483,"1,210,760",0.612,"117,200",0.41,"97,900",0.38,"22,715",0.779,"917,872",0.964
08/17/2021,"2,432,692",0.476,"1,209,633",0.601,"120,700",0.42,"103,600",0.4,"22,245",0.785,"909,180",0.955
08/16/2021,"2,292,396",0.475,"1,170,216",0.61,"123,900",0.43,"100,300",0.38,"20,087",0.773,"910,779",0.968
08/15/2021,"1,430,620",0.629,"661,705",0.608,"73,000",0.78,"54,400",0.68,"12,395",0.691,"918,288",1.007
08/14/2021,"1,718,222",0.6,"811,826",0.587,"75,700",0.67,"57,700",0.6,"13,157",0.793,"904,780",0.955
08/13/2021,"2,434,624",0.485,"1,189,426",0.601,"123,800",0.41,"91,900",0.34,"21,336",0.788,"973,883",0.966
08/12/2021,"2,453,353",0.461,"1,223,666",0.596,"119,700",0.42,"90,800",0.35,"22,427",0.779,"965,578",0.968
08/11/2021,"2,480,877",0.473,"1,246,306",0.615,"119,700",0.42,"94,700",0.37,"23,338",0.778,"931,264",0.983
08/10/2021,"2,447,231",0.476,"1,245,670",0.631,"122,500",0.42,"95,300",0.37,"23,079",0.818,"905,508",0.999
08/09/2021,"2,294,279",0.456,"1,183,050",0.595,"109,900",0.38,"95,600",0.36,"20,540",0.784,"891,525",0.942
08/08/2021,"1,333,885",0.538,"598,574",0.544,"61,100",0.65,"54,300",0.68,"11,934",0.67,"843,489",0.922
08/07/2021,"1,780,458",0.589,"836,715",0.607,"76,800",0.68,"67,300",0.7,"14,108",0.83,"923,751",0.944
08/06/2021,"2,523,944",0.488,"1,222,343",0.607,"123,200",0.41,"101,200",0.38,"22,179",0.81,"979,833",0.958
08/05/2021,"2,534,287",0.466,"1,259,332",0.599,"120,000",0.42,"98,300",0.38,"22,610",0.778,"956,306",0.956
08/04/2021,"2,534,018",0.482,"1,257,876",0.632,"123,700",0.43,"99,300",0.38,"23,611",0.803,"921,068",1.006
08/03/2021,"2,489,064",0.465,"1,262,043",0.597,"123,900",0.43,"103,200",0.4,"22,828",0.783,"904,753",0.968
08/02/2021,"2,338,722",0.455,"1,208,484",0.586,"126,200",0.43,"102,300",0.38,"19,824",0.739,"903,514",0.96
08/01/2021,"1,351,294",0.552,"629,963",0.557,"66,000",0.71,"52,000",0.65,"11,627",0.63,"869,092",0.939
07/31/2021,"1,841,007",0.612,"857,333",0.614,"85,400",0.76,"67,100",0.7,"13,932",0.836,"953,445",1.015
07/30/2021,"2,562,489",0.491,"1,235,623",0.603,"131,900",0.44,"103,500",0.39,"22,127",0.808,"988,596",0.97
07/29/2021,"2,433,507",0.445,"1,186,642",0.551,"120,300",0.42,"94,700",0.36,"22,164",0.767,"918,380",0.91
07/28/2021,"2,539,760",0.474,"1,276,296",0.624,"126,800",0.44,"100,000",0.39,"23,145",0.786,"932,094",0.987
07/27/2021,"2,493,079",0.462,"1,267,804",0.598,"128,300",0.44,"103,000",0.4,"22,609",0.781,"918,908",0.969
07/26/2021,"2,323,169",0.451,"1,219,135",0.591,"129,900",0.45,"101,300",0.38,"19,910",0.754,"907,205",0.961
07/25/2021,"1,364,830",0.56,"625,645",0.556,"66,400",0.71,"53,100",0.66,"11,419",0.631,"864,361",0.908
07/24/2021,"1,852,402",0.607,"856,250",0.612,"84,900",0.75,"68,600",0.71,"14,042",0.831,"950,568",0.966
07/23/2021,"2,557,043",0.481,"1,219,255",0.598,"130,500",0.44,"101,100",0.38,"22,314",0.808,"985,198",0.949
07/22/2021,"2,587,338",0.465,"1,279,778",0.595,"127,300",0.44,"102,300",0.39,"23,122",0.788,"963,493",0.95
07/21/2021,"2,509,502",0.448,"1,225,595",0.562,"121,500",0.42,"104,900",0.41,"22,865",0.752,"914,902",0.934
07/20/2021,"2,467,017",0.467,"1,217,802",0.6,"125,800",0.44,"107,000",0.41,"22,213",0.765,"924,495",1.01
07/19/2021,"2,332,473",0.461,"1,208,792",0.607,"126,700",0.44,"103,400",0.39,"20,276",0.77,"897,298",0.983
07/18/2021,"1,405,344",0.645,"640,618",0.621,"67,400",0.72,"56,200",0.7,"11,313",0.732,"838,604",0.96
07/17/2021,"1,717,480",0.649,"795,347",0.626,"73,000",0.65,"64,500",0.67,"13,228",0.882,"897,001",0.97
07/16/2021,"2,541,195",0.488,"1,219,118",0.594,"123,500",0.41,"104,300",0.39,"21,730",0.806,"983,846",0.957
07/15/2021,"2,586,791",0.478,"1,275,846",0.624,"125,600",0.44,"105,200",0.4,"23,772",0.82,"971,048",0.993
07/14/2021,"2,522,633",0.46,"1,260,044",0.596,"120,500",0.42,"101,800",0.39,"23,662",0.775,"919,213",0.971
07/13/2021,"2,462,643",0.444,"1,239,045",0.572,"123,400",0.43,"105,300",0.41,"22,286",0.743,"895,705",0.937
07/12/2021,"2,249,975",0.425,"1,171,521",0.559,"120,500",0.41,"99,000",0.37,"20,623",0.764,"866,231",0.912
07/11/2021,"1,367,403",0.561,"635,511",0.563,"62,600",0.67,"53,200",0.66,"11,725",0.652,"830,775",0.875
07/10/2021,"1,783,921",0.588,"855,908",0.589,"73,000",0.65,"64,400",0.67,"14,518",0.847,"925,950",0.931
07/09/2021,"2,322,712",0.43,"1,115,969",0.548,"109,400",0.37,"88,300",0.33,"20,632",0.743,"888,932",0.874
07/08/2021,"2,369,035",0.431,"1,164,513",0.56,"116,300",0.4,"93,200",0.36,"22,941",0.774,"897,858",0.925
07/07/2021,"2,442,092",0.438,"1,234,617",0.566,"122,600",0.43,"99,100",0.38,"23,637",0.786,"926,634",0.966
07/06/2021,"2,306,692",0.422,"1,181,416",0.544,"127,900",0.44,"100,500",0.39,"22,648",0.76,"903,777",0.952
07/05/2021,"1,497,714",0.647,"770,321",0.699,"78,400",0.84,"59,700",0.22,"10,303",0.569,"838,087",0.907
07/04/2021,"1,470,325",0.54,"615,001",0.551,"70,200",0.75,"63,900",0.8,"12,816",0.984,"773,629",0.883
07/03/2021,"1,543,756",0.595,"738,089",0.578,"63,800",0.57,"57,400",0.59,"12,676",0.874,"777,262",0.979
07/02/2021,"2,300,302",0.59,"1,121,116",0.637,"116,500",0.39,"94,300",0.35,"21,489",0.968,"920,188",1.076
07/01/2021,"2,297,059",0.418,"1,104,516",0.531,"114,400",0.4,"90,000",0.35,"22,011",0.743,"933,638",1.214
06/30/2021,"2,350,864",0.45,"1,139,886",0.547,"119,400",0.42,"99,500",0.38,"23,001",0.769,"945,822",0.937
06/29/2021,"2,348,456",0.44,"1,169,268",0.562,"119,400",0.41,"97,800",0.38,"21,612",0.732,"930,011",0.982
06/28/2021,"2,256,926",0.433,"1,152,019",0.564,"122,300",0.42,"101,500",0.38,"20,503",0.769,"924,740",0.965
06/27/2021,"1,561,403",0.517,"656,004",0.596,"75,100",0.8,"62,400",0.78,"11,883",0.696,"900,039",0.965
06/26/2021,"1,855,861",0.582,"841,585",0.631,"76,600",0.68,"66,700",0.69,"13,520",0.841,"950,086",0.982
06/25/2021,"2,587,425",0.473,"1,214,123",0.609,"126,700",0.42,"100,500",0.37,"22,400",0.803,"988,675",0.945
06/24/2021,"2,557,684",0.452,"1,248,843",0.599,"121,500",0.42,"100,500",0.39,"22,842",0.771,"978,351",0.937
06/23/2021,"2,552,443",0.44,"1,264,095",0.56,"121,900",0.43,"101,900",0.39,"24,223",0.788,"946,870",0.932
06/22/2021,"2,359,521",0.427,"1,172,110",0.557,"116,200",0.4,"97,600",0.38,"22,293",0.747,"896,868",0.938
06/21/2021,"2,268,969",0.419,"1,191,844",0.561,"123,900",0.43,"95,700",0.36,"20,512",0.755,"926,300",0.945
06/20/2021,"1,389,352",0.529,"652,557",0.581,"77,000",0.82,"60,900",0.76,"13,189",0.705,"951,631",0.983
06/19/2021,"1,784,312",0.541,"841,519",0.6,"76,500",0.68,"66,100",0.69,"13,949",0.802,"952,944",0.95
06/18/2021,"2,576,562",0.464,"1,235,675",0.661,"122,800",0.41,"104,300",0.39,"22,491",0.788,"989,296",0.964
06/17/2021,"2,557,486",0.449,"1,281,552",0.628,"121,600",0.42,"98,400",0.38,"23,292",0.778,"973,485",0.974
06/16/2021,"2,524,189",0.44,"1,288,040",0.587,"119,200",0.42,"94,700",0.37,"24,788",0.794,"945,955",0.975
06/15/2021,"2,474,710",0.441,"1,277,203",0.608,"117,600",0.41,"96,700",0.37,"23,460",0.778,"917,933",0.987
06/14/2021,"2,227,391",0.408,"1,176,722",0.54,"115,300",0.4,"91,100",0.34,"21,568",0.792,"869,235",0.915
06/13/2021,"1,379,959",0.592,"647,385",0.618,"59,200",0.63,"51,700",0.64,"12,047",0.646,"887,098",0.952
06/12/2021,"1,775,538",0.555,"849,178",0.595,"68,200",0.6,"61,500",0.64,"14,450",0.805,"919,318",0.91
06/11/2021,"2,472,629",0.433,"1,221,484",0.547,"118,300",0.39,"94,600",0.35,"23,324",0.807,"968,763",0.93
06/10/2021,"2,478,619",0.434,"1,276,901",0.585,"113,200",0.39,"91,300",0.35,"23,498",0.796,"951,274",0.979
06/09/2021,"2,390,612",0.406,"1,259,005",0.54,"107,900",0.38,"90,600",0.35,"23,868",0.745,"908,563",0.927
06/08/2021,"2,270,152",0.394,"1,175,335",0.525,"108,300",0.38,"88,000",0.34,"22,948",0.781,"878,376",0.915
06/07/2021,"2,227,613",0.422,"1,200,737",0.585,"112,100",0.39,"89,400",0.34,"21,511",0.826,"897,208",1.022
06/06/2021,"1,363,344",0.526,"654,780",0.603,"61,900",0.66,"51,500",0.64,"12,514",0.698,"921,829",1.034
06/05/2021,"1,792,204",0.548,"874,545",0.618,"72,800",0.65,"62,700",0.65,"14,636",0.819,"946,758",0.977
06/04/2021,"2,314,340",0.408,"1,160,335",0.52,"104,600",0.35,"88,900",0.33,"22,743",0.787,"930,743",0.903
06/03/2021,"2,238,336",0.391,"1,143,159",0.528,"102,800",0.36,"84,800",0.33,"23,026",0.772,"895,524",0.891
06/02/2021,"2,348,517",0.408,"1,249,102",0.547,"112,500",0.39,"90,800",0.35,"24,325",0.787,"910,385",0.943
06/01/2021,"2,263,536",0.409,"1,230,127",0.583,"114,800",0.4,"94,900",0.37,"22,308",0.753,"907,698",0.954
05/31/2021,"1,391,302",0.534,"702,801",0.61,"102,300",0.32,"63,000",0.22,"10,380",0.962,"756,187",0.791
05/30/2021,"1,066,132",0.421,"484,864",0.447,"43,400",0.45,"47,200",0.45,"10,028",0.555,"664,029",0.741
05/29/2021,"1,371,467",0.432,"648,192",0.456,"54,800",0.46,"71,700",0.48,"11,734",0.676,"744,860",0.771
05/28/2021,"2,236,646",0.388,"1,135,369",0.513,"112,800",0.35,"89,300",0.31,"21,520",0.771,"931,760",0.888
05/27/2021,"2,356,638",0.41,"1,246,269",0.57,"117,300",0.37,"90,600",0.32,"23,450",0.819,"970,920",0.995
05/26/2021,"2,280,311",0.4,"1,241,052",0.563,"114,500",0.36,"86,700",0.3,"23,594",0.802,"921,084",0.972
05/25/2021,"2,275,628",0.419,"1,253,998",0.576,"110,900",0.35,"85,900",0.3,"22,854",0.807,"902,577",0.975
05/24/2021,"2,123,129",0.383,"1,192,453",0.536,"105,500",0.33,"80,800",0.28,"21,563",0.758,"869,940",1.105
05/23/2021,"1,270,286",0.499,"645,466",0.607,"58,000",0.59,"63,700",0.61,"11,765",0.638,"885,740",1.01
05/22/2021,"1,647,055",0.547,"839,877",0.63,"66,300",0.56,"94,500",0.63,"13,397",0.846,"911,148",1.009
05/21/2021,"2,336,140",0.431,"1,221,591",0.555,"110,100",0.34,"90,900",0.32,"22,520",0.81,"965,528",0.919
05/20/2021,"2,273,912",0.4,"1,243,965",0.568,"106,600",0.33,"82,700",0.29,"23,659",0.796,"931,659",0.919
05/19/2021,"2,261,916",0.384,"1,253,578",0.539,"104,800",0.33,"82,700",0.29,"23,784",0.761,"915,644",0.923
05/18/2021,"2,154,370",0.368,"1,215,676",0.524,"100,400",0.31,"80,300",0.28,"22,367",0.744,"838,307",0.865
05/17/2021,"2,026,574",0.363,"1,157,960",0.51,"98,500",0.31,"77,300",0.27,"20,779",0.753,"810,018",0.838
05/16/2021,"1,201,918",0.458,"621,750",0.557,"49,200",0.5,"56,800",0.55,"11,062",0.592,"814,177",0.859
05/15/2021,"1,637,242",0.481,"844,096",0.592,"63,100",0.53,"91,100",0.6,"13,516",0.766,"891,574",0.896
05/14/2021,"2,270,937",0.396,"1,220,112",0.545,"104,900",0.33,"85,700",0.3,"22,437",0.785,"947,064",0.898
05/13/2021,"2,167,164",0.366,"1,182,347",0.508,"103,000",0.32,"80,000",0.28,"23,439",0.778,"918,259",0.9
05/12/2021,"2,186,470",0.371,"1,238,990",0.526,"98,900",0.31,"77,900",0.27,"23,946",0.749,"887,381",0.907
05/11/2021,"2,152,549",0.373,"1,231,886",0.533,"97,400",0.3,"75,400",0.26,"22,751",0.769,"873,176",0.931
05/10/2021,"1,993,889",0.366,"1,149,109",0.541,"96,800",0.3,"73,300",0.26,"20,751",0.788,"844,563",0.933
05/09/2021,"1,108,734",0.535,"576,000",0.691,"54,100",0.55,"59,300",0.57,"13,897",0.709,"854,809",1.003
05/08/2021,"1,444,674",0.449,"779,188",0.543,"56,300",0.48,"78,700",0.52,"13,339",0.735,"854,156",0.861
05/07/2021,"2,241,860",0.398,"1,222,741",0.541,"101,600",0.32,"83,100",0.29,"22,730",0.798,"936,747",0.919
05/06/2021,"2,204,111",0.374,"1,258,536",0.532,"94,200",0.3,"76,000",0.27,"23,792",0.772,"905,604",0.917
05/05/2021,"2,078,394",0.354,"1,158,445",0.484,"92,000",0.29,"70,300",0.25,"23,236",0.729,"841,968",0.875
05/04/2021,"2,124,252",0.365,"1,227,250",0.519,"93,100",0.29,"72,300",0.25,"22,962",0.742,"851,039",0.909
05/03/2021,"1,974,754",0.35,"1,165,505",0.511,"91,100",0.29,"67,100",0.23,"21,492",0.759,"828,506",0.893
05/02/2021,"1,153,471",0.495,"620,063",0.738,"41,800",0.43,"51,300",0.49,"11,541",0.659,"809,865",1.016
05/01/2021,"1,515,211",0.469,"818,655",0.59,"51,100",0.43,"76,300",0.51,"13,263",0.754,"849,633",0.909
04/30/2021,"2,163,175",0.377,"1,185,321",0.531,"93,500",0.3,"77,700",0.27,"22,322",0.778,"922,720",0.913
04/29/2021,"2,032,405",0.345,"1,166,096",0.497,"88,700",0.29,"69,000",0.24,"22,201",0.749,"873,037",0.888
04/28/2021,"2,139,820",0.368,"1,227,777",0.522,"92,100",0.3,"72,900",0.25,"24,411",0.792,"888,723",0.933
04/27/2021,"2,045,718",0.355,"1,198,299",0.524,"89,000",0.29,"69,300",0.24,"22,603",0.763,"839,788",0.904
04/26/2021,"1,959,131",0.352,"1,156,913",0.515,"89,300",0.29,"68,600",0.24,"21,083",0.774,"826,605",0.913
04/25/2021,"985,027",0.407,"540,989",0.545,"34,100",0.37,"37,100",0.36,"9,777",0.56,"695,863",0.831
04/24/2021,"1,520,057",0.465,"809,163",0.605,"51,600",0.45,"78,900",0.53,"13,351",0.814,"854,964",0.927
04/23/2021,"2,125,087",0.421,"1,184,193",0.677,"92,800",0.3,"76,100",0.27,"22,035",0.868,"920,588",1.02
04/22/2021,"2,044,069",0.374,"1,166,357",0.59,"86,600",0.28,"67,600",0.24,"21,832",0.78,"871,573",0.925
04/21/2021,"1,969,710",0.362,"1,139,762",0.565,"83,500",0.27,"66,000",0.23,"22,379",0.763,"828,447",0.88
04/20/2021,"2,086,630",0.384,"1,223,642",0.604,"90,000",0.29,"72,000",0.25,"23,528",0.85,"860,511",0.924
04/19/2021,"1,914,960",0.387,"1,147,977",0.632,"87,200",0.28,"67,400",0.23,"21,274",0.891,"816,540",0.888
04/18/2021,"1,082,503",0.437,"607,333",0.614,"38,300",0.42,"48,200",0.47,"10,865",0.583,"753,446",0.856
04/17/2021,"1,425,036",0.434,"803,352",0.573,"49,900",0.44,"72,600",0.49,"13,313",0.754,"813,162",0.963
04/16/2021,"2,082,447",0.364,"1,157,507",0.518,"87,200",0.28,"73,600",0.26,"21,632",0.743,"889,711",0.922
04/15/2021,"1,910,326",0.324,"1,083,083",0.481,"81,800",0.26,"63,800",0.22,"21,198",0.715,"822,207",0.822
04/14/2021,"2,021,936",0.338,"1,199,954",0.513,"86,700",0.28,"69,900",0.24,"23,462",0.747,"852,606",0.881
04/13/2021,"2,016,030",0.34,"1,196,355",0.509,"87,200",0.28,"67,600",0.24,"22,728",0.755,"832,482",0.88
04/12/2021,"1,849,254",0.333,"1,087,799",0.496,"83,100",0.27,"63,900",0.22,"21,192",0.758,"793,402",0.873
04/11/2021,"900,666",0.364,"504,407",0.51,"32,000",0.35,"35,600",0.35,"9,742",0.523,"666,435",0.782
04/10/2021,"1,392,745",0.424,"790,023",0.564,"46,000",0.4,"66,800",0.45,"12,713",0.72,"822,112",0.868
04/09/2021,"2,030,410",0.355,"1,144,311",0.512,"87,100",0.28,"71,000",0.25,"21,978",0.755,"895,229",0.894
04/08/2021,"2,017,306",0.346,"1,177,833",0.503,"86,700",0.28,"68,000",0.24,"22,579",0.719,"877,834",0.903
04/07/2021,"1,989,179",0.339,"1,172,362",0.499,"85,500",0.28,"66,700",0.23,"23,469",0.734,"858,593",0.903
04/06/2021,"1,946,071",0.338,"1,155,101",0.499,"85,800",0.28,"66,200",0.23,"21,695",0.717,"840,351",0.919
04/05/2021,"1,822,134",0.328,"1,088,750",0.476,"87,000",0.28,"67,700",0.24,"19,970",0.705,"832,239",0.914
04/04/2021,"951,260",0.406,"519,812",0.522,"40,900",0.45,"47,700",0.46,"11,632",0.601,"749,910",0.839
04/03/2021,"1,319,964",0.466,"750,682",0.628,"47,700",0.42,"68,800",0.46,"12,735",0.861,"779,701",0.832
04/02/2021,"1,760,768",0.37,"958,085",0.543,"79,800",0.26,"66,800",0.23,"18,839",0.77,"845,252",0.868
04/01/2021,"1,845,249",0.312,"1,030,209",0.436,"77,300",0.25,"55,500",0.19,"20,490",0.652,"856,466",0.878
03/31/2021,"1,812,072",0.308,"995,873",0.419,"84,900",0.27,"61,600",0.22,"20,374",0.631,"833,052",0.892
03/30/2021,"1,885,343",0.327,"1,079,381",0.46,"91,300",0.29,"65,600",0.24,"21,019",0.703,"842,154",0.929
03/29/2021,"1,745,540",0.314,"1,002,597",0.437,"86,500",0.28,"62,400",0.23,"18,543",0.65,"763,647",0.851
03/28/2021,"807,247",0.357,"459,949",0.465,"28,300",0.33,"29,900",0.32,"9,104",0.522,"601,860",0.737
03/27/2021,"1,374,266",0.423,"781,981",0.559,"47,500",0.44,"63,600",0.47,"12,900",0.747,"841,595",0.906
03/26/2021,"1,941,782",0.347,"1,091,753",0.49,"84,400",0.27,"64,500",0.23,"20,805",0.727,"865,970",0.878
03/25/2021,"1,929,515",0.333,"1,127,964",0.484,"83,600",0.27,"61,200",0.22,"21,763",0.713,"847,633",0.876
03/24/2021,"1,831,662",0.32,"1,075,968",0.466,"79,600",0.25,"56,500",0.2,"21,651",0.688,"794,315",0.858
03/23/2021,"1,883,301",0.331,"1,133,504",0.483,"83,100",0.27,"58,700",0.21,"21,590",0.712,"810,243",0.895
03/22/2021,"1,805,084",0.333,"1,095,241",0.485,"84,200",0.27,"61,100",0.22,"20,427",0.717,"788,542",0.887
03/21/2021,"1,013,386",0.419,"579,358",0.538,"34,700",0.4,"37,600",0.4,"10,358",0.561,"735,673",0.844
03/20/2021,"1,307,403",0.432,"768,908",0.579,"41,700",0.39,"54,900",0.4,"12,558",0.761,"787,777",0.89
03/19/2021,"1,910,080",0.347,"1,083,647",0.506,"80,000",0.26,"60,700",0.22,"20,357",0.724,"863,187",0.896
03/18/2021,"1,774,375",0.319,"1,019,472",0.467,"76,500",0.24,"55,400",0.2,"20,264",0.693,"799,478",0.87
03/17/2021,"1,869,879",0.328,"1,103,979",0.471,"81,400",0.26,"58,400",0.21,"22,323",0.7,"808,876",0.876
03/16/2021,"1,801,682",0.32,"1,062,179",0.456,"77,700",0.25,"56,400",0.2,"20,903",0.683,"786,996",0.866
03/15/2021,"1,733,288",0.321,"1,023,990",0.455,"79,300",0.25,"55,800",0.2,"19,986",0.714,"774,146",0.867
03/14/2021,"923,968",0.379,"531,754",0.516,"30,400",0.35,"31,800",0.34,"9,732",0.533,"673,170",0.798
03/13/2021,"1,257,372",0.394,"730,218",0.539,"38,500",0.36,"52,300",0.39,"11,932",0.705,"776,744",0.858
03/12/2021,"1,917,972",0.34,"1,092,388",0.49,"82,400",0.26,"63,200",0.23,"21,724",0.748,"873,014",0.875
03/11/2021,"1,885,584",0.324,"1,107,502",0.47,"80,400",0.26,"59,000",0.21,"22,617",0.723,"836,773",0.867
03/10/2021,"1,852,702",0.32,"1,104,610",0.47,"78,100",0.25,"58,100",0.21,"22,774",0.711,"804,700",0.866
03/09/2021,"1,837,670",0.319,"1,101,988",0.473,"79,300",0.25,"57,700",0.21,"22,200",0.724,"791,512",0.872
03/08/2021,"1,722,930",0.31,"1,039,763",0.454,"79,400",0.25,"56,100",0.2,"20,685",0.718,"767,707",0.85
