Route,Notes,FIPS,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
M10,,36061,"2,414,366","2,302,452","2,112,069","2,076,297",1755673,619405,"-1,136,268",-64.70%,179
M11,,36061,"3,415,188","3,192,801","3,025,944","2,937,583",3044937,1088739,"-1,956,198",-64.20%,124
M12,,36061,"148,539","166,073","171,205","178,858",252561,104461,"-148,100",-58.60%,220
M14Lcl/SBS,5,36061,"10,512,776","9,690,519","9,118,992","8,579,904",9410481,5056057,"-4,354,424",-46.30%,12
M15Lcl/SBS,,36061,"14,556,785","14,128,504","13,610,946","14,070,385",14513168,8125584,"-6,387,584",-44.00%,1
M20,,36061,"900,764","799,326","714,299","678,851",689604,372113,"-317,491",-46.00%,199
M21,,36061,"413,106","407,070","409,066","417,216",414352,174220,"-240,132",-58.00%,213
M22,,36061,"800,524","808,523","753,176","665,516",646472,297734,"-348,738",-53.90%,204
M23SBS,6,36061,"3,831,755","3,698,642","3,944,025","4,075,850",4344780,2004368,"-2,340,412",-53.90%,60
M31,,36061,"3,004,862","2,993,865","2,620,903","2,669,079",2786501,933881,"-1,852,620",-66.50%,140
M34SBS,,36061,"4,454,446","4,385,456","4,437,771","4,355,443",4638863,2258330,"-2,380,534",-51.30%,50
M35,,36061,"470,499","350,065","268,474","221,605",216367,82445,"-133,922",-61.90%,224
M42,,36061,"3,385,828","3,106,946","2,912,431","2,752,947",2926585,1481712,"-1,444,873",-49.40%,90
M50,,36061,"816,614","795,731","750,674","694,778",751179,321585,"-429,595",-57.20%,200
M55,4,36061,,,"667,794","660,595",619962,299224,"-320,739",-51.70%,202
M57,,36061,"1,873,625","1,832,359","1,807,795","1,766,980",1959613,1123571,"-836,042",-42.70%,120
M60SBS,,36061,"5,546,522","5,539,186","5,232,078","5,311,039",4884230,2368431,"-2,515,799",-51.50%,46
M66,,36061,"3,426,929","3,242,550","2,444,841","2,358,787",2505106,1229246,"-1,275,860",-50.90%,115
M72,,36061,"1,830,944","1,687,040","1,356,607","1,275,571",1335268,675040,"-660,228",-49.40%,165
M79SBS,7,36061,"4,534,067","4,273,617","3,694,709","3,761,218",3775351,1683152,"-2,092,199",-55.40%,76
M86SBS,8,36061,"7,343,300","7,640,401","6,253,326","5,883,098",6429206,2950300,"-3,478,905",-54.10%,32
M96,,36061,"4,622,995","4,480,859","4,150,049","4,039,123",4136041,1486051,"-2,649,991",-64.10%,89
M98,,36061,"454,705","473,131","421,348","386,839",372059,140710,"-231,349",-62.20%,216
M100,,36061,"5,154,437","5,294,225","5,018,980","4,598,597",4364748,2889986,"-1,474,762",-33.80%,33
M101,,36061,"8,293,644","7,643,449","7,076,500","7,155,626",7085374,4655269,"-2,430,105",-34.30%,14
M102,,36061,"4,192,085","3,968,957","3,708,744","3,831,383",3887350,2719315,"-1,168,035",-30.00%,36
M103,,36061,"3,470,311","3,190,039","2,873,012","2,930,455",3070278,1855883,"-1,214,395",-39.60%,66
M104,,36061,"3,333,370","2,982,823","2,810,183","2,629,563",2687740,850940,"-1,836,800",-68.30%,148
M106,,36061,"690,316","696,383","645,334","614,016",613833,214214,"-399,619",-65.10%,210
M116,,36061,"3,219,041","3,241,353","3,014,525","2,836,220",2807325,1057161,"-1,750,164",-62.30%,126
Q1,,36081,"1,452,330","1,345,803","1,286,245","1,268,354",1231337,667183,"-564,153",-45.80%,169
Q2,,36081,"1,762,335","1,755,288","1,698,724","1,626,985",1600340,935047,"-665,292",-41.60%,139
Q3,,36081,"3,101,830","3,101,783","3,016,184","2,797,181",2646202,1630676,"-1,015,526",-38.40%,79
Q4,,36081,"2,875,553","2,823,377","2,744,728","2,630,040",2625148,1652958,"-972,190",-37.00%,78
Q5,,36081,"3,776,091","3,664,082","3,521,323","3,370,554",3367438,2206526,"-1,160,912",-34.50%,51
Q6,,36081,"3,513,534","3,480,285","3,281,711","3,272,458",3305572,1606003,"-1,699,569",-51.40%,83
Q7,,36081,"1,551,161","1,606,778","1,599,556","1,521,558",1494546,675386,"-819,160",-54.80%,164
Q8,,36081,"3,374,492","3,437,684","3,318,146","3,261,666",3236361,1608588,"-1,627,772",-50.30%,82
Q9,,36081,"1,585,627","1,543,202","1,476,982","1,418,204",1395930,623620,"-772,310",-55.30%,177
Q10,,36081,"7,323,942","7,475,722","7,341,090","7,047,602",6790810,3907186,"-2,883,624",-42.50%,21
Q11,,36081,"1,433,956","1,498,023","1,470,554","1,266,352",1266061,443187,"-822,874",-65.00%,193
Q12,,36081,"3,577,098","3,629,368","3,527,111","3,327,193",3074727,1242173,"-1,832,555",-59.60%,113
Q13,,36081,"2,752,764","2,716,439","2,600,357","2,375,913",2351562,1316646,"-1,034,917",-44.00%,103
Q15,,36081,"1,731,910","1,777,914","1,753,118","1,723,192",1713497,903104,"-810,393",-47.30%,143
Q16,,36081,"1,207,150","1,205,052","1,198,072","1,179,442",1236086,571479,"-664,607",-53.80%,184
Q17,,36081,"5,549,706","5,544,402","5,138,621","4,983,420",5025160,2590695,"-2,434,465",-48.40%,39
Q18,,36081,"2,681,333","2,716,952","2,534,103","2,483,852",2712358,1675538,"-1,036,819",-38.20%,77
Q19,,36081,"1,003,257","1,051,604","1,071,594","1,138,150",1009024,721403,"-287,620",-28.50%,158
Q20,,36081,"4,205,234","4,442,586","4,589,781","4,368,989",4315745,2421117,"-1,894,627",-43.90%,43
Q21,,36081,"955,611","976,985","953,069","798,708",809200,289687,"-519,513",-64.20%,205
Q22,,36081,"2,278,354","2,322,086","2,153,775","2,045,595",1960843,765105,"-1,195,738",-61.00%,153
Q23,,36081,"4,976,489","5,000,828","4,907,397","5,271,826",5337201,3319117,"-2,018,084",-37.80%,28
