Station (alphabetical by borough),FIPS,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
"High St (A,C)",36047,B,"2,656,705","2,536,059","2,983,672","3,463,611",3536860,1043554,"-2,493,306",-70.50%,194
"Hoyt St (2,3)",36047,B,"2,249,892","2,356,001","2,137,478","1,982,208",2293256,898643,"-1,394,613",-60.80%,228
"Hoyt-Schermerhorn Sts (A,C,G)",36047,B,"3,038,302","3,082,398","3,264,293","3,370,038",3605153,1426671,"-2,178,482",-60.40%,135
"Jay St-MetroTech (A,C,F,R)",36047,B,"12,765,132","13,091,255","13,007,176","12,504,027",12238047,4048255,"-8,189,792",-66.90%,26
Jefferson St (L),36047,B,"2,514,292","2,563,505","2,566,772","2,515,861",2237997,912845,"-1,325,152",-59.20%,226
Junius St (3),36047,B,"928,235","681,935","298,119","620,548",676092,346436,"-329,656",-48.80%,388
"Kings Hwy (B,Q)",36047,B,"5,905,481","6,014,920","6,040,256","5,895,421",5938819,2588491,"-3,350,328",-56.40%,56
Kings Hwy (F),36047,B,"1,202,640","1,398,753","1,531,332","1,356,085",1129071,488475,"-640,596",-56.70%,341
Kings Hwy (N),36047,B,"1,710,115","475,763","910,558","1,032,541",1371311,691832,"-679,479",-49.50%,290
Kingston Av (3),36047,B,"1,573,003","1,560,437","1,474,988","1,443,692",1472802,620880,"-851,922",-57.80%,305
Kingston-Throop Avs (C),36047,B,"1,992,480","2,031,710","2,085,536","2,099,891",2055094,791030,"-1,264,064",-61.50%,255
Knickerbocker Av (M),36047,B,"1,288,025","1,288,438","593,366","772,085",1544093,659855,"-884,238",-57.30%,299
Kosciuszko St (J),36047,B,"1,593,719","1,661,644","1,979,192","1,908,610",1779062,731320,"-1,047,742",-58.90%,273
Lafayette Av (C),36047,B,"1,631,737","1,639,947","1,621,121","1,631,673",1599887,619691,"-980,196",-61.30%,306
Liberty Av (C),36047,B,"858,554","920,826","886,011","839,241",833633,381652,"-451,981",-54.20%,379
Livonia Av (L),36047,B,"1,001,522","1,045,593","1,019,591","994,378",856615,446530,"-410,085",-47.90%,362
"Lorimer St (J,M)",36047,B,"1,614,154","1,595,826","1,619,602","1,495,068",1747990,716035,"-1,031,955",-59.00%,280
Lorimer St (L)/Metropolitan Av (G),36047,B,"5,238,736","5,156,893","5,010,601","4,821,359",4696924,1780896,"-2,916,028",-62.10%,100
"Marcy Av (J,M,Z)",36047,B,"4,204,877","4,272,443","4,199,041","4,171,666",4717791,1816258,"-2,901,533",-61.50%,96
Montrose Av (L),36047,B,"2,334,271","2,338,095","2,306,046","2,239,760",1933886,828023,"-1,105,863",-57.20%,242
Morgan Av (L),36047,B,"2,453,723","2,614,617","2,594,607","2,465,927",2100475,866007,"-1,234,468",-58.80%,234
"Myrtle Av (J,M,Z)",36047,B,"3,687,468","3,764,562","4,213,096","3,789,470",3854024,1563366,"-2,290,658",-59.40%,121
Myrtle-Willoughby Avs (G),36047,B,"1,875,988","1,887,369","1,765,653","1,768,122",1820637,789214,"-1,031,423",-56.70%,256
"Myrtle-Wyckoff Avs (L,M)",36047,B,"6,464,630","6,531,453","7,302,376","6,893,183",5927332,2704645,"-3,222,687",-54.40%,52
Nassau Av (G),36047,B,"2,916,005","2,851,899","2,765,172","2,880,235",3136229,1186206,"-1,950,023",-62.20%,179
Neck Rd (Q),36047,B,"1,305,776","1,336,596","1,379,473","1,366,989",1362524,573448,"-789,076",-57.90%,321
Neptune Av (F),36047,B,"531,011","513,566","478,754","433,083",428163,185099,"-243,064",-56.80%,413
"Nevins St (2,3,4,5)",36047,B,"3,310,625","3,220,745","3,271,270","3,215,723",3150597,1189273,"-1,961,324",-62.30%,176
New Lots Av (3),36047,B,"2,155,220","2,065,205","1,810,576","1,644,379",1643487,800943,"-842,544",-51.30%,253
New Lots Av (L),36047,B,"1,595,607","1,645,273","1,638,839","1,499,170",1254351,606925,"-647,426",-51.60%,313
New Utrecht Av (N)/62 St (D),36047,B,"1,857,740","1,784,812","1,651,274","1,503,742",1501183,718496,"-782,687",-52.10%,279
"Newkirk Av (2,5)",36047,B,"2,476,287","2,395,551","2,315,386","2,221,270",2131839,1021789,"-1,110,050",-52.10%,198
